,Posemo,Negemo,Work,Date,Status_id,length_messages
83,7.0,9.0,,2016-05-16 22:29:35,261858613983318_584067688429074,132
84,,1.0,,2016-05-16 22:28:40,261858613983318_584067571762419,27
85,1.0,4.0,,2016-05-16 22:28:32,261858613983318_584067531762423,73
86,2.0,2.0,,2016-05-16 22:27:47,261858613983318_584067258429117,45
87,,,,2016-05-16 22:26:19,261858613983318_584067065095803,17
88,,,,2016-05-15 23:28:39,261858613983318_583732521795924,7
89,4.0,1.0,,2016-05-15 23:28:28,261858613983318_583732485129261,53
90,2.0,,3.0,2016-05-15 23:28:14,261858613983318_583732395129270,72
91,2.0,,1.0,2016-05-15 23:28:01,261858613983318_583732355129274,49
92,2.0,2.0,9.0,2016-05-15 23:27:45,261858613983318_583732301795946,137
93,,,2.0,2016-05-15 23:27:28,261858613983318_583732275129282,21
94,6.0,2.0,,2016-05-15 23:27:16,261858613983318_583732245129285,125
95,3.0,4.0,3.0,2016-05-15 23:26:49,261858613983318_583732138462629,67
96,,,,2016-05-15 23:26:40,261858613983318_583732091795967,10
97,8.0,1.0,6.0,2016-05-15 23:26:32,261858613983318_583732055129304,109
98,2.0,,,2016-05-15 23:26:11,261858613983318_583732011795975,19
99,1.0,2.0,1.0,2016-05-15 23:26:02,261858613983318_583731991795977,58
100,,1.0,3.0,2016-05-15 23:25:49,261858613983318_583731928462650,33
101,,,1.0,2016-05-15 23:25:17,261858613983318_583731828462660,56
102,,1.0,,2016-05-15 23:25:02,261858613983318_583731791795997,39
103,29.0,11.0,3.0,2016-05-15 23:24:48,261858613983318_583731748462668,479
104,,2.0,,2016-05-15 23:23:06,261858613983318_583731535129356,21
105,2.0,1.0,,2016-05-15 23:22:56,261858613983318_583731518462691,59
106,21.0,6.0,2.0,2016-05-15 23:22:41,261858613983318_583731408462702,280
107,1.0,3.0,1.0,2016-05-15 23:22:25,261858613983318_583731331796043,20
108,1.0,6.0,2.0,2016-05-15 23:22:12,261858613983318_583731295129380,68
109,,1.0,,2016-05-15 23:21:51,261858613983318_583731258462717,3
110,16.0,3.0,2.0,2016-05-15 23:21:40,261858613983318_583731211796055,195
111,18.0,10.0,1.0,2016-05-15 23:21:19,261858613983318_583731168462726,388
