,Posemo,Negemo,Work,Date,Status_id,length_messages
84,2.0,1.0,2.0,2013-11-27 01:30:12,496760523694278_616955728341423,29
85,3.0,5.0,8.0,2013-11-27 01:30:07,496760523694278_616955711674758,118
86,14.0,12.0,2.0,2013-11-27 01:29:20,496760523694278_616955391674790,202
87,,1.0,5.0,2013-11-27 01:29:05,496760523694278_616955188341477,44
88,5.0,5.0,4.0,2013-11-27 01:28:04,496760523694278_616954491674880,100
89,,1.0,2.0,2013-11-27 01:27:55,496760523694278_616954271674902,47
90,3.0,6.0,3.0,2013-11-27 01:27:33,496760523694278_616954065008256,123
91,3.0,2.0,13.0,2013-11-27 01:26:52,496760523694278_616953578341638,180
92,2.0,,1.0,2013-11-27 01:26:27,496760523694278_616953085008354,36
93,2.0,5.0,,2013-11-27 01:26:00,496760523694278_616952501675079,120
94,,,2.0,2013-11-27 01:25:23,496760523694278_616951795008483,32
95,2.0,,,2013-11-27 01:25:09,496760523694278_616951525008510,23
96,3.0,1.0,1.0,2013-11-27 01:24:40,496760523694278_616951088341887,34
97,,,2.0,2013-11-26 01:16:11,496760523694278_616525148384481,5
98,,4.0,1.0,2013-11-26 00:21:03,496760523694278_616513681718961,30
99,2.0,2.0,,2013-11-26 00:20:31,496760523694278_616513561718973,98
100,1.0,,,2013-11-26 00:20:21,496760523694278_616513525052310,12
101,5.0,2.0,3.0,2013-11-26 00:20:08,496760523694278_616513471718982,78
102,1.0,3.0,2.0,2013-11-26 00:19:48,496760523694278_616513395052323,71
103,1.0,3.0,,2013-11-26 00:19:39,496760523694278_616513341718995,41
104,2.0,3.0,3.0,2013-11-26 00:19:06,496760523694278_616513218385674,132
105,,1.0,,2013-11-26 00:18:53,496760523694278_616513158385680,21
106,2.0,,2.0,2013-11-26 00:18:29,496760523694278_616513048385691,43
107,,2.0,,2013-11-26 00:18:00,496760523694278_616512945052368,35
108,5.0,2.0,1.0,2013-11-26 00:17:16,496760523694278_616512791719050,131
109,6.0,2.0,,2013-11-26 00:17:08,496760523694278_616512778385718,128
110,25.0,18.0,2.0,2013-11-26 00:16:54,496760523694278_616512765052386,516
111,,1.0,,2013-11-26 00:16:43,496760523694278_616512738385722,43
112,,,,2013-11-26 00:16:23,496760523694278_616512668385729,20
113,,3.0,,2013-11-26 00:16:14,496760523694278_616512631719066,36
114,8.0,2.0,1.0,2013-11-26 00:16:00,496760523694278_616512538385742,63
115,4.0,,5.0,2013-11-26 00:15:49,496760523694278_616512495052413,70
116,1.0,,,2013-11-25 14:31:36,496760523694278_616299871740342,12
117,2.0,,2.0,2013-11-25 14:31:26,496760523694278_616299831740346,39
118,24.0,5.0,1.0,2013-11-25 14:31:11,496760523694278_616299741740355,272
119,1.0,,,2013-11-25 14:29:01,496760523694278_616299148407081,48
120,,,2.0,2013-11-25 14:28:28,496760523694278_616298855073777,19
121,7.0,3.0,,2013-11-25 14:27:59,496760523694278_616298715073791,99
122,2.0,5.0,1.0,2013-11-25 14:27:48,496760523694278_616298658407130,144
123,2.0,5.0,1.0,2013-11-25 14:27:48,496760523694278_616298658407130,144
124,,,3.0,2013-11-25 14:26:40,496760523694278_616298261740503,35
125,,1.0,,2013-11-25 14:26:26,496760523694278_616298138407182,17
126,8.0,14.0,2.0,2013-11-25 14:26:09,496760523694278_616298078407188,206
127,1.0,,1.0,2013-11-25 14:25:58,496760523694278_616298041740525,25
128,24.0,18.0,1.0,2013-11-25 14:25:47,496760523694278_616297995073863,510
129,1.0,2.0,1.0,2013-11-25 14:25:29,496760523694278_616297888407207,17
130,,1.0,,2013-11-25 14:25:18,496760523694278_616297838407212,17
131,1.0,7.0,1.0,2013-11-25 14:25:10,496760523694278_616297805073882,76
132,7.0,1.0,2.0,2013-11-25 14:24:56,496760523694278_616297735073889,57
133,4.0,,,2013-11-25 14:24:44,496760523694278_616297701740559,52
134,12.0,2.0,,2013-11-25 14:24:30,496760523694278_616297641740565,153
135,3.0,1.0,2.0,2013-11-25 14:24:08,496760523694278_616297528407243,72
136,6.0,,,2013-11-25 14:23:55,496760523694278_616297398407256,55
137,,,,2013-11-25 02:07:52,496760523694278_665729380138455,1
138,27.0,15.0,9.0,2013-11-24 22:35:48,496760523694278_616023768434619,586
139,1.0,1.0,2.0,2013-11-24 22:35:31,496760523694278_616023691767960,29
140,,1.0,,2013-11-24 22:35:24,496760523694278_616023665101296,22
141,,,,2013-11-24 22:35:09,496760523694278_616023598434636,19
142,4.0,2.0,2.0,2013-11-24 22:34:27,496760523694278_616023508434645,84
143,2.0,1.0,,2013-11-24 22:33:53,496760523694278_616023391767990,16
144,9.0,2.0,,2013-11-24 22:33:39,496760523694278_616023368434659,62
145,1.0,,,2013-11-24 22:33:30,496760523694278_616023348434661,30
146,1.0,,,2013-11-24 22:32:59,496760523694278_616023251768004,37
147,6.0,4.0,,2013-11-24 22:32:29,496760523694278_616023158434680,289
148,18.0,12.0,1.0,2013-11-24 22:31:47,496760523694278_616023045101358,221
149,8.0,11.0,13.0,2013-11-24 22:31:18,496760523694278_616022925101370,260
150,12.0,3.0,,2013-11-24 22:31:09,496760523694278_616022911768038,148
151,,1.0,,2013-11-24 22:30:47,496760523694278_616022791768050,26
152,1.0,1.0,1.0,2013-11-24 22:30:39,496760523694278_616022775101385,17
153,,1.0,1.0,2013-11-24 22:30:27,496760523694278_616022735101389,18
154,8.0,5.0,2.0,2013-11-24 22:30:19,496760523694278_616022715101391,140
155,3.0,7.0,6.0,2013-11-24 22:30:02,496760523694278_616022635101399,207
156,,,2.0,2013-11-24 16:59:14,496760523694278_615938165109846,22
157,7.0,4.0,,2013-11-24 16:58:45,496760523694278_615938021776527,153
158,,2.0,1.0,2013-11-24 16:58:10,496760523694278_615937851776544,19
159,1.0,,,2013-11-24 16:57:29,496760523694278_615937595109903,21
160,,,1.0,2013-11-24 16:57:19,496760523694278_615937528443243,17
161,,,,2013-11-24 16:57:03,496760523694278_615937445109918,20
162,2.0,,,2013-11-24 16:55:54,496760523694278_615937098443286,18
163,1.0,,,2013-11-24 16:55:27,496760523694278_615936995109963,7
164,10.0,1.0,,2013-11-24 16:55:16,496760523694278_615936945109968,139
165,5.0,3.0,,2013-11-24 16:54:35,496760523694278_615936795109983,59
166,4.0,13.0,4.0,2013-11-24 16:54:21,496760523694278_615936751776654,250
167,3.0,4.0,,2013-11-24 16:54:03,496760523694278_615936665109996,112
168,2.0,,,2013-11-24 16:53:10,496760523694278_615936398443356,55
169,,,,2013-11-24 16:52:45,496760523694278_615936328443363,5
170,6.0,3.0,1.0,2013-11-24 16:52:23,496760523694278_615936285110034,93
171,3.0,4.0,2.0,2013-11-24 16:52:07,496760523694278_615936218443374,73
172,,,,2013-11-24 16:51:53,496760523694278_615936125110050,19
173,,,,2013-11-24 16:51:40,496760523694278_615936098443386,23
174,,,3.0,2013-11-24 16:51:30,496760523694278_615936055110057,28
175,,2.0,,2013-11-24 16:51:16,496760523694278_615936005110062,66
176,,1.0,2.0,2013-11-23 23:28:35,496760523694278_615595895144073,16
177,2.0,,,2013-11-23 23:28:19,496760523694278_615595825144080,159
178,3.0,2.0,,2013-11-23 23:27:52,496760523694278_615595725144090,65
179,,1.0,2.0,2013-11-23 23:27:42,496760523694278_615595698477426,7
